'LBL_CONVERT_ADD_MODULE','LBL_CONVERT_ADD_MODULE',"'Modul hinzufügen',","'Add Module',",Leads
'LBL_CREATE','LBL_CREATE',"'Erstellen',","'Create',",Leads
'LBL_SELECT','LBL_SELECT',"' <b>ODER</b> Auswählen',","' <b>OR</b> Select',",Leads
'LBL_WEBSITE','LBL_WEBSITE',"'Webseite',","'Website',",Leads
'LNK_IMPORT_LEADS','LNK_IMPORT_LEADS',"'Interessenten importieren',","'Import Leads',",Leads
'LBL_NOTICE_OLD_LEAD_CONVERT_OVERRIDE','LBL_NOTICE_OLD_LEAD_CONVERT_OVERRIDE',"'Hinweis: Der aktuelle ""Interessent umwandeln"" Bildschirm enthält benutzerdefinierte Felder. Wenn Sie diesen Bildschirm im Studio zum ersten Mal anpassen, müssen Sie gegebenenfalls benutzerdefinierte Felder hinzufügen. Die benutzerdefinierten Felder erscheinen nicht wie früher automatisch im Layout.',","'Notice: The current Convert Lead screen contains custom fields. When you customize the Convert Lead screen in Studio for the first time, you will need to add custom fields to the layout, as necessary. The custom fields will not automatically appear in the layout, as they did previously.',",Leads
'LBL_MODULE_TIP','LBL_MODULE_TIP',"'Das Modul in dem ein neuer Satz erstellt werden soll.',","'The module to create a new record in.',",Leads
'LBL_REQUIRED_TIP','LBL_REQUIRED_TIP',"'Benötigte Module müssen erstellt oder ausgewählt sein bevor der Interessent konvertiert werden kann.',","'Required modules must be created or selected before the lead can be converted.',",Leads
'LBL_COPY_TIP','LBL_COPY_TIP',"'Wenn ausgewählt werden Felder aus dem Interessent in Felder mit dem gleichen Namen im neu erstellten Datensatz kopiert.',","'If checked, fields from the lead will be copied to fields with the same name in the newly created records.',",Leads
'LBL_SELECTION_TIP','LBL_SELECTION_TIP',"'Module mit einem verknüpften Feld in Kontakten können ausgewählt werden anstelle sie während des Konvertierungsprozesses zu erstellen.',","'Modules with a relate field in Contacts can be selected rather than created during the convert lead process.',",Leads
'LBL_EDIT_TIP','LBL_EDIT_TIP',"'Ändern Sie die Konvertierungsmaske für dieses Modul.',","'Modify the convert layout for this module.',",Leads
'LBL_DELETE_TIP','LBL_DELETE_TIP',"'Entfernen Sie dieses Modul aus der Konvertierungsmaske',","'Remove this module from the convert layout.',",Leads
'LBL_ACTIVITIES_MOVE','LBL_ACTIVITIES_MOVE',"'Verschiebe Aktivitäten nach',","'Move Activities to',",Leads
'LBL_ACTIVITIES_COPY','LBL_ACTIVITIES_COPY',"'Kopiere Aktivitäten nach',","'Copy Activities to',",Leads
'LBL_ACTIVITIES_MOVE_HELP','LBL_ACTIVITIES_MOVE_HELP',"""Wählen Sie den Datensatz aus, zu dem die Aktivitäten des Interessenten verschoben werden sollen. Aufgaben, Anrufe, Meetings, Notizen und E-Mails werden zu dem(n) gewählten Eintrag(en) verschoben. "",","""Select the record to which to move the Lead's activities. Tasks, Calls, Meetings, Notes and Emails will be moved to the selected record(s)."",",Leads
'LBL_ACTIVITIES_COPY_HELP','LBL_ACTIVITIES_COPY_HELP',"""Wählen Sie den Datensatz aus, zu dem die Aktivitäten des Interessenten kopiert werden sollen. Aufgaben, Anrufe, Meetings, Notizen und E-Mails werden zu dem(n) gewählten Eintrag(en) kopiert. "",","""Select the record(s) for which to create copies of the Lead's activities. New Tasks, Calls, Meetings and Notes will be created for each of the selected record(s). Emails will be related to the selected record(s)."",",Leads
'LBL_PHONE_HOME','LBL_PHONE_HOME',"'Telefon Privat',","'Phone Home',",Leads
'LBL_PHONE_MOBILE','LBL_PHONE_MOBILE',"'Telefon Mobil',","'Phone Mobile',",Leads
'LBL_PHONE_WORK','LBL_PHONE_WORK',"'Telefon Büro',","'Phone Work',",Leads
'LBL_PHONE_OTHER','LBL_PHONE_OTHER',"'Telefon Anderes',","'Phone Other',",Leads
'LBL_PHONE_FAX','LBL_PHONE_FAX',"'Telefon/Fax:',","'Phone Fax',",Leads
